"","GISJOIN_T","X.1","X","whites","blacks","asians","latino","native_americans","others","tot","E","H","Estd","Estd_cls","H_cls","biv_cls"
"190","G2601630531800",193,193,22,3561,5,12,6,26,3632,0.124173084630434,0.218366140454739,0.0693023180638927,"L","L","LL"
"191","G2601630531900",194,194,61,1881,8,16,3,29,1998,0.295288429951893,0.334093487414774,0.164803610653785,"L","M","LM"
"192","G2601630532200",195,195,48,2194,2,7,3,45,2299,0.234827313877523,0.202683743418014,0.131059619279531,"L","L","LL"
"193","G2601630532300",196,196,169,1115,5,22,2,36,1349,0.611925542608314,0.170915321656364,0.341522147987838,"M","L","ML"
"194","G2601630532400",197,197,108,2150,5,15,8,48,2334,0.362784825538528,0.159086396923047,0.202474066284593,"L","L","LL"
"195","G2601630532500",198,198,165,2782,16,26,4,76,3069,0.414226562507316,0.100997816158516,0.231184246335127,"L","L","LL"
"196","G2601630532600",199,199,373,2796,188,40,6,58,3461,0.701779246955847,0.267906182249371,0.39167045521919,"M","L","ML"
"197","G2601630532700",200,200,15,1744,2,13,4,19,1797,0.173926004052841,0.203962028462779,0.097069951095486,"L","L","LL"
"198","G2601630533000",201,201,83,2396,4,12,3,28,2526,0.255875490096566,0.221172674480565,0.142806830096902,"L","L","LL"
"199","G2601630533100",202,202,12,2449,5,21,4,64,2555,0.219926019347325,0.176504303179309,0.122743048452857,"L","L","LL"
"200","G2601630533200",203,203,13,2992,6,9,2,25,3047,0.114859760209349,0.231534058983432,0.064104452735966,"L","L","LL"
"201","G2601630533300",204,204,49,2912,9,19,7,41,3037,0.227995825890087,0.196792047691605,0.127246893238586,"L","L","LL"
"202","G2601630533400",205,205,33,4478,4,32,11,73,4631,0.187957506017841,0.20856778686281,0.104901081448627,"L","L","LL"
"203","G2601630533500",206,206,5,1969,0,19,4,7,2004,0.108600800281283,0.196915849886597,0.060611260688954,"L","L","LL"
"204","G2601630533600",207,207,17,3929,1,27,8,41,4023,0.140946698684917,0.199482837049808,0.078663850313369,"L","L","LL"
"205","G2601630533700",208,208,14,1865,2,6,2,38,1927,0.177085687331264,0.30009121642388,0.0988334039097103,"L","L","LL"
"206","G2601630534100",209,209,17,2853,6,15,6,42,2939,0.171569104160924,0.213843229667983,0.0957545402200895,"L","L","LL"
"207","G2601630534200",210,210,51,5810,5,50,8,71,5995,0.178134188677478,0.206008195655415,0.0994185836529852,"L","L","LL"
"208","G2601630534300",211,211,35,2444,3,15,3,24,2524,0.181253437757216,0.191503411697288,0.101159469711247,"L","L","LL"
"209","G2601630534400",212,212,44,3043,1,33,2,45,3168,0.213236304399574,0.199423174736742,0.119009447451919,"L","L","LL"
"210","G2601630534500",213,213,19,1741,4,8,1,25,1798,0.180574177133789,0.204310152244734,0.100780367139115,"L","L","LL"
"211","G2601630534600",214,214,23,2889,2,28,6,37,2985,0.184727181323334,0.255163490624009,0.103098202909412,"L","L","LL"
"212","G2601630534700",215,215,71,3666,7,22,4,45,3815,0.213286970642682,0.22087344124027,0.119037724820605,"L","L","LL"
"213","G2601630535000",216,216,108,3584,9,33,8,55,3797,0.28564150594397,0.174105841650493,0.159419559851431,"L","L","LL"
"214","G2601630535100",217,217,63,2645,3,22,8,44,2785,0.26263732992627,0.232684689997446,0.146580684760897,"L","L","LL"
"215","G2601630535200",218,218,49,3345,2,46,2,22,3466,0.19258863422159,0.218428423102591,0.10748576331206,"L","L","LL"
"216","G2601630535300",219,219,98,4673,3,24,11,80,4889,0.233214601846828,0.203954840032423,0.130159547557633,"L","L","LL"
