"","GISJOIN_T","X.1","X","whites","blacks","asians","native_americans","others","latino","tot","E","H","Estd","Estd_cls","H_cls","biv_cls"
"166","G2601630531500",166,166,40,2906,1,4,46,21,3018,0.20348771882343,0.18670780970981,0.113568658248029,"L","L","LL"
"167","G2601630531600",167,167,23,1920,3,3,24,8,1981,0.177439147757573,0.188508003414031,0.0990306739296986,"L","L","LL"
"168","G2601630531700",168,168,22,1982,2,6,51,7,2070,0.224021672551904,0.264198348659318,0.125028876029002,"L","L","LL"
"169","G2601630531800",169,169,22,2078,2,0,28,9,2139,0.16148179205403,0.259553685351505,0.0901247041398929,"L","L","LL"
"170","G2601630531900",170,170,56,1348,0,1,11,9,1425,0.25437049425884,0.182511150239942,0.141966875926952,"L","L","LL"
"171","G2601630532200",171,171,39,1604,3,2,32,16,1696,0.277563023599696,0.198141066510116,0.154910873008685,"L","L","LL"
"172","G2601630532300",172,172,112,802,5,5,30,8,962,0.604670573325125,0.176418399412413,0.337473072535587,"M","L","ML"
"173","G2601630532400",173,173,67,1509,4,11,30,14,1635,0.367412966946266,0.175311856433013,0.205057081185433,"L","L","LL"
"174","G2601630532600",174,174,106,1742,79,6,43,67,2043,0.625656629167771,0.464947686313996,0.349185613310766,"M","M","MM"
"175","G2601630532700",175,175,16,915,0,2,15,14,962,0.255053131252811,0.211693528071297,0.142347862887364,"L","L","LL"
"176","G2601630533000",176,176,77,1683,3,2,17,22,1804,0.315274186567235,0.261221725577212,0.175957873800474,"L","L","LL"
"177","G2601630533100",177,177,7,1769,0,2,30,16,1824,0.167620945097616,0.19924785933579,0.0935510306915429,"L","L","LL"
"178","G2601630533200",178,178,12,1604,0,2,24,14,1656,0.176438382446665,0.272441892117867,0.098472136174997,"L","L","LL"
"179","G2601630533300",179,179,35,1700,5,9,34,12,1795,0.279820728989201,0.250983334913503,0.15617092237819,"L","L","LL"
"180","G2601630533400",180,180,24,2959,2,4,51,29,3069,0.198705446758961,0.222462058787088,0.110899621389789,"L","L","LL"
"181","G2601630533500",181,181,6,1268,0,3,21,24,1322,0.216883353257072,0.284921024437831,0.12104490417484,"L","L","LL"
"182","G2601630533600",182,182,9,2370,1,2,51,13,2446,0.168743261725762,0.220430253654622,0.0941774075280662,"L","L","LL"
"183","G2601630533700",183,183,16,1184,0,4,26,12,1242,0.245900078699569,0.322561078340017,0.137239446992017,"L","L","LL"
"184","G2601630533900",184,184,250,2199,32,2,58,37,2578,0.568215051875501,0.212899193653349,0.317126858618086,"L","L","LL"
"185","G2601630534100",185,185,14,1986,0,15,26,29,2070,0.224013526802856,0.184713250070243,0.125024329799896,"L","L","LL"
"186","G2601630534200",186,186,24,4060,0,13,56,26,4179,0.165049769319431,0.259161481398952,0.0921160301670063,"L","L","LL"
"187","G2601630534300",187,187,22,1454,2,3,32,8,1521,0.234184932435536,0.302884872126073,0.130701099370458,"L","L","LL"
"188","G2601630534400",188,188,19,1889,1,8,25,16,1958,0.200895980993676,0.268275347908883,0.112122181824008,"L","L","LL"
"189","G2601630534500",189,189,9,950,1,0,11,9,980,0.173709943340443,0.351413964090086,0.0969493653159163,"L","M","LM"
"190","G2601630534600",190,190,24,1762,2,8,43,63,1902,0.354765827539315,0.308525895933219,0.197998578286939,"L","L","LL"
"191","G2601630534700",191,191,33,2945,3,8,25,28,3042,0.185507322389654,0.221751650554553,0.103533607928734,"L","L","LL"
"192","G2601630535000",192,192,49,2533,2,6,27,44,2661,0.254043374505433,0.230586397114757,0.141784306916421,"L","L","LL"
"193","G2601630535100",193,193,31,1992,0,4,19,21,2067,0.200427428397877,0.233702341093094,0.111860677641194,"L","L","LL"
"194","G2601630535200",194,194,32,2381,1,7,45,21,2487,0.230295453996386,0.252039492067043,0.128530340121827,"L","L","LL"
"195","G2601630535300",195,195,59,3889,1,7,48,24,4028,0.192186961083375,0.225888460107179,0.107261585265222,"L","L","LL"
"196","G2601630535400",196,196,18,1460,2,7,29,6,1522,0.223131132116052,0.195788612199152,0.124531855948379,"L","L","LL"
"197","G2601630535500",197,197,92,2513,2,4,47,18,2676,0.294626621299067,0.20536302226453,0.1644342482119,"L","L","LL"
"198","G2601630535600",198,198,108,3215,7,3,57,35,3425,0.302221229015425,0.206970994434365,0.168672879482887,"L","L","LL"
"199","G2601630535700",199,199,10,1438,3,3,19,13,1486,0.187681391521865,0.196624332327062,0.104746979014278,"L","L","LL"
"200","G2601630536100",200,200,83,3663,4,4,71,21,3846,0.245648080372074,0.205649418818171,0.137098804047569,"L","L","LL"
"201","G2601630536200",201,201,25,1920,4,2,49,12,2012,0.239451164085391,0.269453736767509,0.133640239216123,"L","L","LL"
"202","G2601630536300",202,202,15,3019,0,8,63,25,3130,0.192868348863499,0.259713703382752,0.107641875026112,"L","L","LL"
"203","G2601630536400",203,203,14,2781,3,4,47,19,2868,0.172809275835868,0.257698266198332,0.0964466932106234,"L","L","LL"
"204","G2601630536500",204,204,12,2273,6,5,48,19,2363,0.210316179887049,0.215218594563619,0.117379694930626,"L","L","LL"
"205","G2601630536600",205,205,30,2849,0,5,44,18,2946,0.183851619245552,0.248206456010763,0.102609542409597,"L","L","LL"
"206","G2601630536700",206,206,18,1335,1,1,27,9,1391,0.215229032840674,0.176203115959554,0.120121610370728,"L","L","LL"
"207","G2601630536800",207,207,10,1590,0,10,28,8,1646,0.190637439639855,0.285098821900824,0.106396780881525,"L","L","LL"
"208","G2601630536900",208,208,23,3370,2,11,62,29,3497,0.20232454634331,0.215088034209161,0.112919479326362,"L","L","LL"
"209","G2601630537000",209,209,57,3494,0,16,43,31,3641,0.221475759512673,0.236667216962108,0.123607974907531,"L","L","LL"
"210","G2601630537100",210,210,20,2064,1,4,48,41,2178,0.26797596213413,0.230479315245114,0.149560232127352,"L","L","LL"
"211","G2601630537200",211,211,12,857,0,2,12,5,888,0.193512801824941,0.234104311469741,0.108001551072205,"L","L","LL"
"212","G2601630537300",212,212,37,2601,5,6,54,47,2750,0.28222138107074,0.220318098997561,0.157510751815549,"L","L","LL"
"213","G2601630537500",213,213,25,2883,1,13,36,8,2966,0.163840763197514,0.281979175105414,0.0914412710027992,"L","L","LL"
"214","G2601630537600",214,214,48,3119,4,3,42,27,3243,0.210736255464327,0.199260818024361,0.117614143574259,"L","L","LL"
"215","G2601630537700",215,215,26,3072,6,5,56,13,3178,0.187767375326926,0.210382777680128,0.104794967489594,"L","L","LL"
"216","G2601630537800",216,216,36,1953,4,9,25,8,2035,0.222893142406315,0.190111656245961,0.124399031362365,"L","L","LL"
"217","G2601630538100",217,217,232,1755,10,5,49,25,2076,0.568771192526501,0.148962246621052,0.317437246625266,"L","L","LL"
